,tweet_id,created_at,user_id,retweeted_status_id,retweeted_user_id,credibility_score
441,1340654196740263937,2020-12-20 13:44:03+00:00,1298769749497831426,1340648596262281217,776465110856589312,95.0
442,1340654237102071808,2020-12-20 13:44:12+00:00,1242042855130005511,1340356633424216064,1683455144,5.0
445,1340654561741172739,2020-12-20 13:45:30+00:00,1024485775,1340648596262281217,776465110856589312,95.0
446,1340654954458058754,2020-12-20 13:47:03+00:00,37616894,1340593989301493768,2182945495,64.5
448,1340655272986107904,2020-12-20 13:48:19+00:00,1033488919,1340324106487656449,726721856749842436,5.0
449,1340655431069429761,2020-12-20 13:48:57+00:00,1335222746,1340648596262281217,776465110856589312,95.0
454,1340656429120798720,2020-12-20 13:52:55+00:00,89665740,1340642260300513281,53672896,100.0
455,1340656959536705536,2020-12-20 13:55:02+00:00,1249068072360697862,1340650416447483905,83186144,80.0
458,1340657997622743042,2020-12-20 13:59:09+00:00,2627013992,1340606307125121024,78567974,82.5
459,1340658029235236874,2020-12-20 13:59:17+00:00,2954454747,1340648596262281217,776465110856589312,95.0
461,1340658217123258369,2020-12-20 14:00:01+00:00,1249068072360697862,1340649256990990336,1247899648192176132,80.0
462,1340658614428688391,2020-12-20 14:01:36+00:00,1901258058,1340630803538206721,1032615842,5.0
463,1340658662357004288,2020-12-20 14:01:47+00:00,792793865489117184,1340324106487656449,726721856749842436,5.0
466,1340659692587147264,2020-12-20 14:05:53+00:00,86990596,1340648596262281217,776465110856589312,95.0
471,1340661111708938247,2020-12-20 14:11:31+00:00,1393166804,1340428826694852609,372937945,5.0
479,1340662404234014721,2020-12-20 14:16:40+00:00,457889747,1340427316573462530,1063806444380798976,95.0
480,1340662448479723520,2020-12-20 14:16:50+00:00,1000144495499993089,1340648491782197248,1192636619167322112,7.5
481,1340662626595041284,2020-12-20 14:17:33+00:00,86990596,1340606630145253376,1683455144,5.0
489,1340663257741352964,2020-12-20 14:20:03+00:00,1215270813781450753,1340648491782197248,1192636619167322112,7.5
491,1340663387966062606,2020-12-20 14:20:34+00:00,1087656399151288320,1340606630145253376,1683455144,5.0
505,1340665806133325824,2020-12-20 14:30:11+00:00,500633142,1340648596262281217,776465110856589312,95.0
506,1340665908621168641,2020-12-20 14:30:35+00:00,500633142,1340648491782197248,1192636619167322112,7.5
